trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9991181296463766}",25,0,-120.48384142170104,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9990756424412622}",25,6,-115.86407839169277,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
44,False,"{'a': 0.001, 'e': 0.9990321561605888}",25,0,-134.54481644958616,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.001, 'e': 0.9989876708478425}",20,0,-141.4774241329892,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9989421865475084}",25,0,-5.557241604363691,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.9988957033050712}",25,0,-172.18406285498568,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.001, 'e': 0.9988482211670138}",20,0,-46.40739695440205,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.9987997401808185}",20,12,-10.290767888603877,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.001, 'e': 0.9987502603949663}",20,0,-211.36837553625907,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 3}",0
51,False,"{'a': 0.001, 'e': 0.9986997818589368}",20,0,-40.60227203837631,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.001, 'e': 0.9986483046232089}",20,0,-101.00891733748266,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.9985958287392593}",30,0,-228.84235092150297,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
54,False,"{'a': 0.001, 'e': 0.9985423542595644}",25,0,-77.38912256864475,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.9984878812375985}",20,0,-144.1214720436453,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
56,False,"{'a': 0.001, 'e': 0.9984324097278344}",25,0,-157.26123895404407,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
57,False,"{'a': 0.001, 'e': 0.9983759397857438}",20,0,-93.7691480599516,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
58,False,"{'a': 0.001, 'e': 0.9983184714677966}",25,0,-172.2976770131725,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9982600048314613}",20,0,-135.67641951016512,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9982005399352042}",20,0,-116.80551924044728,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.001, 'e': 0.9981400768384904}",20,0,-217.96292713245765,"{0: 5, 1: 6, 2: 3, 3: 4, 4: 2}",0
62,False,"{'a': 0.001, 'e': 0.9980786156017829}",20,0,-160.5443671329046,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.001, 'e': 0.9980161562865429}",20,0,-65.16594434018019,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.99795269895523}",25,0,-88.15474724787458,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.001, 'e': 0.9978882436713011}",25,0,-184.41626339193903,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
66,False,"{'a': 0.001, 'e': 0.9978227904992117}",20,0,-65.56673743787316,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.9977563395044151}",20,0,-129.50115830056973,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.9976888907533621}",25,0,-257.81649299951937,"{0: 9, 1: 7, 2: 3, 3: 2, 4: 4}",0
69,False,"{'a': 0.001, 'e': 0.9976204443135014}",20,0,-148.95780049212473,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.001, 'e': 0.9975510002532796}",20,0,-123.89633420985464,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
71,False,"{'a': 0.001, 'e': 0.9974805586421406}",20,0,-73.51612667087657,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.001, 'e': 0.9974091195505261}",30,0,-167.57243710821567,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
73,False,"{'a': 0.001, 'e': 0.9973366830498752}",20,0,-236.5653116343752,"{0: 7, 1: 1, 2: 6, 3: 3, 4: 3}",0
74,False,"{'a': 0.001, 'e': 0.9972632492126244}",20,11,-55.544814733755096,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.001, 'e': 0.9971888181122075}",20,0,-87.044495317989,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.001, 'e': 0.9971133898230555}",25,9,-72.30597078830569,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.001, 'e': 0.9970369644205967}",30,0,-211.58920186589467,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
78,False,"{'a': 0.001, 'e': 0.9969595419812568}",20,0,-130.43803585857447,"{0: 7, 1: 0, 2: 12, 3: 1, 4: 0}",0
79,False,"{'a': 0.001, 'e': 0.9968811225824579}",20,0,-190.47796088372894,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
80,False,"{'a': 0.001, 'e': 0.9968017063026194}",25,0,-79.89025853428771,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
81,False,"{'a': 0.001, 'e': 0.9967212932211577}",20,0,-205.4777430733322,"{0: 6, 1: 4, 2: 7, 3: 0, 4: 3}",0
82,False,"{'a': 0.001, 'e': 0.9966398834184859}",30,0,-241.14316574125735,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
83,False,"{'a': 0.001, 'e': 0.9965574769760137}",25,0,-227.83044914454277,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
84,False,"{'a': 0.001, 'e': 0.9964740739761475}",20,0,-46.176014025135345,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.001, 'e': 0.9963896745022904}",25,1,-102.19701594807262,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 0}",1
86,False,"{'a': 0.001, 'e': 0.996304278638842}",20,0,-167.0583403945743,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
87,False,"{'a': 0.001, 'e': 0.9962178864711978}",25,0,-153.71821535774058,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.001, 'e': 0.9961304980857502}",20,0,-256.9912700975877,"{0: 6, 1: 4, 2: 4, 3: 2, 4: 4}",0
89,False,"{'a': 0.001, 'e': 0.9960421135698875}",25,0,-152.58963369114855,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
90,False,"{'a': 0.001, 'e': 0.9959527330119943}",20,0,-191.97593281650848,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
91,False,"{'a': 0.001, 'e': 0.9958623565014509}",25,0,-201.24761780354066,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
92,False,"{'a': 0.001, 'e': 0.9957709841286342}",25,0,-143.52836180047328,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9956786159849162}",30,0,-217.699561483003,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
94,False,"{'a': 0.001, 'e': 0.9955852521626654}",25,0,-100.4827889495164,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
